Cache_Type,Number,Steps,Cache_Hit
0,5406,160,0
0,15891,128,0
0,8516,127,0
0,13555,89,0
0,31694,59,0
0,13429,89,0
0,27144,46,0
0,21801,149,0
0,12524,112,0
0,17439,154,0
0,23875,144,0
0,1809,55,0
0,8615,78,0
0,25298,64,0
0,8637,127,0
0,32293,98,0
0,31780,129,0
0,27760,108,0
0,12518,112,0
0,26341,139,0
0,12403,37,0
0,28696,121,0
0,32619,160,0
0,15644,84,0
0,32194,46,0
0,22675,87,0
0,5127,147,0
0,22372,69,0
0,24528,51,0
0,29679,77,0
0,156,36,0
0,19436,123,0
0,28837,72,0
0,7785,220,0
0,29058,165,0
0,4729,59,0
0,4737,59,0
0,5265,41,0
0,18206,185,0
0,1963,81,0
0,30226,90,0
0,12456,125,0
0,28087,108,0
0,13698,58,0
0,20713,118,0
0,5965,93,0
0,26502,77,0
0,1312,114,0
0,22575,113,0
0,5977,49,0
0,15628,40,0
0,15825,146,0
0,21396,48,0
0,16647,203,0
0,18345,123,0
0,30024,165,0
0,23689,82,0
0,30808,147,0
0,2665,53,0
0,21804,56,0
0,7599,57,0
0,1717,104,0
0,3361,43,0
0,22995,82,0
0,9871,197,0
0,28630,51,0
0,28091,46,0
0,28237,59,0
0,10123,179,0
0,3556,149,0
0,7118,49,0
0,2468,133,0
0,10772,68,0
0,14554,164,0
0,29298,103,0
0,12642,156,0
0,6430,168,0
0,32049,98,0
0,9298,135,0
0,1364,13,0
0,11729,37,0
0,9660,122,0
0,11778,99,0
0,14478,45,0
0,5250,28,0
0,7377,101,0
0,17043,79,0
0,7087,57,0
0,24033,69,0
0,26793,245,0
0,26213,139,0
0,7270,70,0
0,4212,82,0
0,18185,79,0
0,11325,37,0
0,24117,25,0
0,28228,59,0
0,11298,37,0
0,18583,35,0
0,20597,149,0
0,17110,53,0
0,10423,135,0
0,28478,51,0
0,26011,64,0
0,19804,74,0
0,31613,77,0
0,12057,187,0
0,20409,87,0
0,6957,57,0
0,20935,61,0
0,16456,115,0
0,26184,139,0
0,26227,170,0
0,31586,41,0
0,30832,54,0
0,6436,75,0
0,19747,136,0
0,5566,116,0
0,22866,131,0
0,5336,147,0
0,29747,46,0
0,29263,59,0
0,28067,196,0
0,31772,147,0
0,27399,139,0
0,15411,146,0
0,26647,95,0
0,23196,206,0
0,25388,38,0
0,8469,34,0
0,14528,19,0
0,13563,89,0
0,4168,126,0
0,337,112,0
0,3222,22,0
0,23064,144,0
0,17489,110,0
0,27481,152,0
0,27479,196,0
0,22928,30,0
0,7166,101,0
0,26199,51,0
0,26513,77,0
0,17284,172,0
0,20347,74,0
0,20500,56,0
0,5372,98,0
0,5532,98,0
0,31585,85,0
0,21016,30,0
0,14606,164,0
0,31051,147,0
0,30181,72,0
0,12819,125,0
0,27082,183,0
0,14165,120,0
0,1104,18,0
0,379,58,0
0,3801,30,0
0,1167,31,0
0,1199,70,0
0,28791,72,0
0,30939,209,0
0,3046,35,0
0,24523,113,0
0,18428,154,0
0,767,59,0
0,22947,113,0
0,22363,162,0
0,20277,35,0
0,29393,134,0
0,3054,154,0
0,1145,150,0
0,8233,145,0
0,2644,115,0
0,27792,108,0
0,6739,181,0
0,12184,37,0
0,81,22,0
0,22525,162,0
0,16675,159,0
0,3109,35,0
0,21230,149,0
0,5521,129,0
0,7521,44,0
0,6331,54,0
0,10370,42,0
0,1306,26,0
0,22326,113,0
0,17961,92,0
0,12968,32,0
0,17815,97,0
0,13877,32,0
0,4111,38,0
0,18323,154,0
0,14655,102,0
0,9542,104,0
0,16638,89,0
0,9633,47,0
0,2757,128,0
0,13026,45,0
0,16859,58,0
0,5426,160,0
0,6107,155,0
0,24966,51,0
0,30852,85,0
0,23738,144,0
0,25845,77,0
0,23649,51,0
0,31158,54,0
0,15125,40,0
0,32335,72,0
0,25680,25,0
0,4655,90,0
0,23579,126,0
0,27185,183,0
0,2317,32,0
0,27407,59,0
0,31605,41,0
0,4210,126,0
0,676,51,0
0,19844,74,0
0,10671,86,0
0,15163,84,0
0,16166,146,0
0,18854,154,0
0,26509,95,0
0,5389,67,0
0,30880,28,0
0,17568,97,0
0,2979,48,0
0,18437,48,0
0,26446,51,0
0,12817,63,0
0,9760,42,0
0,8799,101,0
0,25613,170,0
0,31922,98,0
0,22251,69,0
0,25658,51,0
0,3855,51,0
0,25144,108,0
0,18929,61,0
0,6810,62,0
0,20178,136,0
0,18044,154,0
0,19901,74,0
0,11187,68,0
0,15187,177,0
0,16857,159,0
0,14409,76,0
0,30821,147,0
0,18815,110,0
0,28373,59,0
0,3603,162,0
0,14083,58,0
0,19178,123,0
0,15108,133,0
0,8052,70,0
0,27480,152,0
0,5571,67,0
0,16170,66,0
0,4141,126,0
0,8172,158,0
0,26888,46,0
0,25248,33,0
0,32067,46,0
0,17539,141,0
0,24822,95,0
0,19961,74,0
0,13582,37,0
0,21991,100,0
0,4036,113,0
0,28900,46,0
0,13708,32,0
0,13031,107,0
0,3728,87,0
0,8020,114,0
0,25851,170,0
0,17056,35,0
0,6810,62,1
0,2527,177,0
0,14502,71,0
0,20475,61,0
0,4784,121,0
0,5476,41,0
0,15871,128,0
0,15991,53,0
0,26857,95,0
0,22001,43,0
0,14830,133,0
0,31785,129,0
0,23702,38,0
0,12516,112,0
0,21097,79,0
0,21761,69,0
0,4214,157,0
0,27216,64,0
0,30277,134,0
0,2894,53,0
0,20777,74,0
0,8610,78,0
0,30539,33,0
0,22916,30,0
0,8167,158,0
0,388,120,0
0,2703,159,0
0,16701,115,0
0,21874,162,0
0,9985,91,0
0,8957,140,0
0,19327,185,0
0,29001,121,0
0,1002,111,0
0,23093,51,0
0,7741,145,0
0,26911,170,0
0,16505,71,0
0,23449,131,0
0,2848,35,0
0,3211,123,0
0,24629,38,0
0,1443,47,0
0,31623,191,0
0,20737,87,0
0,11797,143,0
0,13693,151,0
0,24012,43,0
0,6657,168,0
0,13288,138,0
0,28875,46,0
0,30665,147,0
0,20878,87,0
0,16628,66,0
0,25035,64,0
0,17050,79,0
0,25826,25,0
0,17374,110,0
0,22945,82,0
0,13221,50,0
0,31072,41,0
0,31690,54,0
0,19692,74,0
0,5848,142,0
0,28106,59,0
0,17602,79,0
0,32413,191,0
0,24114,188,0
0,31668,147,0
0,860,103,0
0,19721,61,0
0,2693,66,0
0,3385,180,0
0,29591,72,0
0,21821,131,0
0,4474,90,0
0,6892,57,0
0,24327,64,0
0,24721,95,0
0,25813,25,0
0,9745,135,0
0,32306,191,0
0,20608,105,0
0,32506,67,0
0,8974,47,0
0,2361,58,0
0,31926,98,0
0,6320,80,0
0,26652,69,0
0,15291,71,0
0,14187,102,0
0,27686,77,0
0,29762,46,0
0,20470,118,0
0,27632,59,0
0,10548,55,0
0,8836,78,0
0,13615,89,0
0,2951,97,0
0,32482,41,0
0,7512,88,0
0,1364,13,1
0,15480,146,0
0,24110,188,0
0,9817,135,0
0,32225,98,0
0,32609,173,0
0,23050,38,0
0,1599,73,0
0,32768,15,0
0,16078,190,0
0,18597,136,0
0,14607,164,0
0,23540,175,0
0,32009,85,0
0,2539,177,0
0,10895,99,0
0,27575,59,0
0,5172,103,0
0,5967,142,0
0,5885,173,0
0,16610,128,0
0,15508,53,0
0,16584,40,0
0,25600,33,0
0,27086,95,0
0,19760,136,0
0,15129,208,0
0,1503,140,0
0,4601,59,0
0,27291,183,0
0,25430,56,0
0,17649,48,0
0,427,53,0
0,6158,155,0
0,23460,105,0
0,30549,41,0
0,16601,40,0
0,24249,69,0
0,25920,33,0
0,738,20,0
0,24905,157,0
0,32603,191,0
0,7107,57,0
0,15201,84,0
0,13303,45,0
0,25105,38,0
0,30116,64,0
0,28922,72,0
0,28088,46,0
0,14443,102,0
0,11774,125,0
0,17133,128,0
0,32541,67,0
0,1477,21,0
0,31635,41,0
0,2691,115,0
0,9114,60,0
0,469,22,0
0,14610,195,0
0,29251,46,0
0,27623,64,0
0,2432,27,0
0,25237,95,0
0,3432,105,0
0,18343,167,0
0,4594,59,0
0,3182,105,0
0,915,129,0
0,21064,43,0
0,20973,56,0
0,14115,58,0
0,9406,60,0
0,26410,139,0
0,5473,160,0
0,9399,83,0
0,31089,41,0
0,16643,53,0
0,28478,51,1
0,4907,134,0
0,9016,140,0
0,10370,42,1
0,15750,128,0
0,69,14,0
0,8532,34,0
0,30258,209,0
0,13222,50,0
0,23184,144,0
0,19889,74,0
0,27554,59,0
0,24326,64,0
0,17316,53,0
0,9752,135,0
0,10179,86,0
0,23007,237,0
0,18343,167,1
0,13734,151,0
0,14993,63,0
0,8269,158,0
0,11796,143,0
0,12925,169,0
0,7157,101,0
0,15269,84,0
0,18363,61,0
0,9145,65,0
0,2538,40,0
0,14344,120,0
0,24074,43,0
0,9126,153,0
0,4576,108,0
0,6200,155,0
0,10122,42,0
0,4656,121,0
0,18781,110,0
0,15275,84,0
0,26028,51,0
0,19354,61,0
0,31210,147,0
0,27358,64,0
0,4038,113,0
0,14195,58,0
0,17453,141,0
0,32236,54,0
0,12121,143,0
0,17350,48,0
0,32339,147,0
0,20831,255,0
0,20885,56,0
0,8338,158,0
0,20913,56,0
0,32070,147,0
0,12831,76,0
0,20345,87,0
0,23466,100,0
0,648,25,0
0,785,121,0
0,23484,82,0
0,21971,162,0
0,25207,64,0
0,30275,46,0
0,20071,48,0
0,2389,27,0
0,21672,56,0
0,27593,139,0
0,13001,125,0
0,4499,46,0
0,3843,144,0
0,27068,152,0
0,16167,71,0
0,12813,63,0
0,21526,74,0
0,16702,234,0
0,30130,41,0
0,17284,172,1
0,15278,32,0
0,1208,18,0
0,20917,180,0
0,31840,28,0
0,27049,121,0
0,13158,138,0
0,21779,162,0
0,6222,36,0
0,9990,91,0
0,15894,53,0
0,2545,40,0
0,9005,39,0
0,4414,170,0
0,18732,61,0
0,19632,136,0
0,27435,90,0
0,21463,48,0
0,20458,136,0
0,29214,165,0
0,24107,43,0
0,8246,96,0
0,3310,43,0
0,7661,176,0
0,22123,162,0
0,22453,131,0
0,19452,92,0
0,23908,51,0
0,6755,36,0
0,7157,101,1
0,2302,58,0
0,23124,51,0
0,5104,59,0
0,14710,102,0
0,73,115,0
0,14926,71,0
0,689,126,0
0,8292,39,0
0,5154,28,0
0,32275,191,0
0,11697,143,0
0,24500,64,0
0,11137,91,0
0,30028,165,0
0,22599,61,0
0,22128,100,0
0,28181,108,0
0,6779,88,0
0,32315,72,0
0,3919,82,0
0,391,120,0
0,27442,64,0
0,6954,31,0
0,31369,85,0
0,11267,60,0
0,4227,82,0
0,300,16,0
0,31209,178,0
0,32757,160,0
0,27575,59,1
0,691,126,0
0,29476,46,0
0,29968,90,0
0,23362,69,0
0,29623,165,0
0,23657,82,0
0,4757,77,0
0,19447,105,0
0,17936,48,0
0,30521,72,0
0,3794,69,0
0,27257,152,0
0,17699,48,0
0,11641,130,0
0,2025,156,0
0,2290,151,0
0,13504,45,0
0,17606,141,0
0,14802,71,0
0,3335,180,0
0,22347,131,0
0,23560,82,0
0,21923,43,0
0,31243,147,0
0,7962,26,0
0,26442,51,0
0,24079,188,0
0,27506,33,0
0,3871,113,0
0,7625,83,0
0,11565,50,0
